Hidden Gem Score,IMDb Votes,Rotten Tomatoes Score,Metacritic Score,IMDb Score,Genre
2,4387.0,33.0,34.0,41.0,292.0
8,3936.0,0.0,0.0,51.0,1119.0
3,1983.0,0.0,0.0,52.0,398.0
9,2934.0,0.0,0.0,58.0,1179.0
7,2053.0,81.0,0.0,45.0,958.0
4,289.0,0.0,0.0,61.0,836.0
4,1960.0,88.0,0.0,46.0,1054.0
6,4048.0,0.0,0.0,47.0,66.0
3,52.0,75.0,60.0,41.0,671.0
4,5107.0,4.0,0.0,21.0,1184.0
2,451.0,49.0,47.0,45.0,254.0
8,3472.0,0.0,0.0,47.0,727.0
7,2511.0,0.0,0.0,52.0,677.0
7,2925.0,0.0,0.0,47.0,729.0
3,5426.0,85.0,60.0,47.0,116.0
7,1297.0,0.0,0.0,46.0,1072.0
3,1967.0,0.0,53.0,40.0,1214.0
2,4046.0,28.0,25.0,36.0,203.0
8,163.0,0.0,0.0,48.0,885.0
7,2959.0,0.0,0.0,53.0,664.0
4,1847.0,95.0,81.0,49.0,785.0
1,4229.0,6.0,26.0,26.0,116.0
8,4178.0,0.0,0.0,41.0,1019.0
8,2615.0,0.0,0.0,46.0,1119.0
3,2813.0,71.0,50.0,41.0,901.0
4,5524.0,97.0,80.0,47.0,884.0
2,32.0,30.0,36.0,34.0,582.0
8,5598.0,97.0,60.0,53.0,1055.0
3,1037.0,55.0,45.0,43.0,1264.0
4,5439.0,0.0,0.0,51.0,792.0
8,5380.0,0.0,0.0,46.0,1119.0
8,4128.0,0.0,0.0,43.0,836.0
1,2331.0,12.0,16.0,33.0,865.0
2,3361.0,40.0,36.0,46.0,1211.0
3,861.0,63.0,48.0,44.0,923.0
7,3181.0,0.0,0.0,54.0,901.0
3,1438.0,63.0,46.0,47.0,217.0
8,4082.0,0.0,0.0,51.0,901.0
7,1942.0,89.0,54.0,48.0,1119.0
7,1671.0,0.0,0.0,46.0,131.0
7,2173.0,0.0,0.0,48.0,553.0
5,5262.0,4.0,83.0,59.0,1001.0
7,1338.0,0.0,0.0,50.0,656.0
4,817.0,88.0,73.0,45.0,816.0
7,3916.0,4.0,0.0,48.0,865.0
2,2636.0,59.0,44.0,34.0,1264.0
8,5628.0,0.0,0.0,48.0,836.0
8,4857.0,0.0,0.0,53.0,1034.0
8,3389.0,0.0,0.0,49.0,1019.0
8,2452.0,0.0,0.0,47.0,1001.0
5,5062.0,84.0,0.0,47.0,891.0
8,2102.0,4.0,0.0,52.0,1119.0
8,5533.0,0.0,0.0,52.0,901.0
4,5563.0,0.0,0.0,55.0,566.0
8,5804.0,0.0,0.0,48.0,1268.0
4,2694.0,89.0,68.0,52.0,791.0
8,1.0,0.0,0.0,46.0,411.0
3,1770.0,60.0,0.0,43.0,1214.0
3,424.0,59.0,55.0,45.0,190.0
4,3289.0,94.0,81.0,59.0,1210.0
4,4885.0,98.0,70.0,46.0,1004.0
8,3206.0,67.0,0.0,39.0,839.0
2,4087.0,59.0,39.0,42.0,7.0
3,270.0,81.0,0.0,47.0,801.0
1,4746.0,13.0,0.0,25.0,1264.0
8,3770.0,0.0,0.0,45.0,901.0
7,3250.0,4.0,78.0,39.0,1019.0
8,2070.0,0.0,0.0,41.0,1214.0
3,1069.0,0.0,0.0,48.0,1222.0
5,4765.0,89.0,64.0,40.0,836.0
8,2644.0,0.0,0.0,41.0,1199.0
5,4516.0,0.0,0.0,49.0,761.0
4,5258.0,63.0,0.0,36.0,1004.0
4,4380.0,0.0,0.0,60.0,836.0
3,3856.0,66.0,53.0,39.0,289.0
8,5030.0,0.0,0.0,48.0,733.0
2,633.0,50.0,28.0,33.0,289.0
6,4357.0,94.0,78.0,51.0,1055.0
2,2798.0,54.0,43.0,40.0,347.0
3,4564.0,74.0,52.0,52.0,37.0
1,1511.0,7.0,12.0,43.0,1214.0
7,2766.0,0.0,0.0,52.0,650.0
4,5292.0,0.0,65.0,42.0,1230.0
7,1811.0,0.0,0.0,50.0,683.0
2,5276.0,34.0,36.0,39.0,292.0
7,1075.0,0.0,0.0,47.0,1019.0
6,3467.0,59.0,0.0,36.0,198.0
5,4406.0,61.0,47.0,47.0,1319.0
8,4539.0,0.0,0.0,54.0,1191.0
4,1214.0,98.0,68.0,52.0,938.0
7,2463.0,81.0,0.0,50.0,530.0
3,842.0,0.0,0.0,47.0,891.0
8,2338.0,0.0,0.0,53.0,1.0
5,4700.0,0.0,0.0,50.0,729.0
6,2771.0,49.0,0.0,30.0,1281.0
3,5624.0,71.0,57.0,41.0,777.0
1,3859.0,11.0,27.0,25.0,71.0
4,5398.0,98.0,67.0,56.0,791.0
6,3574.0,0.0,0.0,49.0,1318.0
1,1287.0,10.0,30.0,31.0,129.0
9,2227.0,0.0,0.0,55.0,115.0
7,2504.0,55.0,0.0,25.0,1225.0
4,151.0,0.0,0.0,62.0,901.0
7,2568.0,0.0,0.0,52.0,544.0
8,5770.0,4.0,0.0,45.0,1119.0
5,4859.0,0.0,0.0,56.0,1116.0
2,277.0,41.0,38.0,42.0,838.0
3,2714.0,81.0,61.0,43.0,986.0
7,2099.0,81.0,0.0,27.0,1259.0
3,1293.0,77.0,59.0,45.0,1210.0
3,3015.0,83.0,63.0,50.0,123.0
7,3556.0,86.0,0.0,60.0,1088.0
3,2501.0,46.0,55.0,42.0,1184.0
8,967.0,0.0,0.0,59.0,901.0
4,3904.0,100.0,74.0,53.0,203.0
7,3560.0,90.0,0.0,49.0,901.0
7,2741.0,82.0,0.0,50.0,836.0
3,387.0,62.0,43.0,43.0,783.0
3,542.0,0.0,67.0,43.0,624.0
2,3138.0,64.0,35.0,38.0,1267.0
2,4787.0,0.0,27.0,34.0,123.0
7,155.0,0.0,0.0,41.0,516.0
5,4144.0,34.0,42.0,43.0,810.0
8,5623.0,0.0,0.0,50.0,1280.0
8,296.0,90.0,0.0,51.0,1119.0
1,5246.0,25.0,14.0,8.0,836.0
8,650.0,77.0,0.0,44.0,138.0
7,2245.0,98.0,68.0,48.0,1019.0
1,2405.0,12.0,0.0,29.0,1018.0
6,1462.0,0.0,42.0,31.0,1227.0
2,4995.0,56.0,42.0,33.0,405.0
8,5012.0,97.0,65.0,50.0,1041.0
4,4730.0,55.0,0.0,34.0,1264.0
3,1918.0,77.0,55.0,46.0,252.0
2,4552.0,23.0,28.0,39.0,1159.0
3,977.0,79.0,47.0,49.0,971.0
4,538.0,0.0,0.0,66.0,430.0
6,3136.0,0.0,0.0,47.0,702.0
8,5630.0,0.0,0.0,54.0,1075.0
6,503.0,29.0,42.0,30.0,81.0
2,5543.0,20.0,38.0,45.0,901.0
6,3926.0,87.0,0.0,25.0,217.0
4,699.0,89.0,71.0,59.0,1019.0
3,2072.0,0.0,0.0,51.0,1208.0
8,738.0,0.0,0.0,41.0,1004.0
3,4624.0,0.0,0.0,53.0,844.0
4,1187.0,0.0,0.0,54.0,813.0
4,4495.0,98.0,78.0,52.0,830.0
8,4848.0,0.0,0.0,50.0,167.0
8,4419.0,0.0,0.0,44.0,1137.0
4,2257.0,0.0,0.0,55.0,664.0
3,2371.0,82.0,62.0,46.0,901.0
2,2912.0,30.0,36.0,39.0,881.0
8,268.0,0.0,0.0,50.0,1159.0
8,1664.0,0.0,0.0,50.0,1119.0
3,1251.0,89.0,59.0,50.0,289.0
6,3338.0,66.0,0.0,39.0,1214.0
8,4968.0,0.0,0.0,45.0,1214.0
8,1844.0,0.0,0.0,58.0,1214.0
3,3204.0,83.0,55.0,48.0,802.0
8,4376.0,74.0,0.0,33.0,970.0
7,4429.0,57.0,0.0,38.0,1273.0
1,745.0,9.0,32.0,31.0,838.0
2,100.0,33.0,29.0,50.0,1191.0
9,4602.0,0.0,0.0,57.0,411.0
3,1676.0,83.0,58.0,42.0,1119.0
4,5091.0,0.0,0.0,54.0,361.0
2,4442.0,12.0,36.0,33.0,217.0
8,5384.0,0.0,0.0,45.0,1119.0
9,5299.0,0.0,0.0,56.0,1296.0
7,677.0,44.0,42.0,35.0,208.0
5,5288.0,94.0,69.0,49.0,1119.0
8,2428.0,0.0,0.0,45.0,1019.0
2,1355.0,42.0,0.0,27.0,876.0
6,3458.0,0.0,0.0,47.0,1210.0
